attraction_name,attraction_url,region
Yas Island,https://www.viator.com/Abu-Dhabi-attractions/Yas-Island/d4474-a19449,Middle_East_Africa
Addo Elephant National Park,https://www.viator.com/Garden-Route-attractions/Addo-Elephant-National-Park/d5613-a12749,Middle_East_Africa
Saadian Tombs (Tombeaux Saadiens),https://www.viator.com/Marrakech-attractions/Saadian-Tombs/d5408-a1975,Middle_East_Africa
Ben Youssef Madrasa (Medersa Ben Youssef),https://www.viator.com/Marrakech-attractions/Ben-Youssef-Madrasa/d5408-a20245,Middle_East_Africa
Cape Town Stadium,https://www.viator.com/Cape-Town-attractions/Cape-Town-Stadium/d318-a12733,Middle_East_Africa
Cai Rang Floating Market (Cho Noi Cai Rang),https://www.viator.com/Mekong-Delta-attractions/Cai-Rang-Floating-Market/d23962-a25590,Middle_East_Africa
Sheldrick Wildlife Trust,https://www.viator.com/Nairobi-attractions/Sheldrick-Wildlife-Trust/d5280-a11278,Middle_East_Africa
The Lost Chambers Aquarium,https://www.viator.com/Dubai-attractions/The-Lost-Chambers-Aquarium/d828-a11310,Middle_East_Africa
Île aux Cerfs,https://www.viator.com/Mauritius-attractions/Ile-aux-Cerfs/d4463-a15113,Middle_East_Africa
Giftun Islands,https://www.viator.com/Hurghada-attractions/Giftun-Islands/d800-a1839,Middle_East_Africa
Al Fahidi Historical Neighbourhood,https://www.viator.com/Dubai-attractions/Al-Fahidi-Historical-Neighbourhood/d828-a1614,Middle_East_Africa
Tangier Kasbah,https://www.viator.com/Tangier-attractions/Tangier-Kasbah/d4388-a101896,Middle_East_Africa
Giza Plateau,https://www.viator.com/Giza-attractions/Giza-Plateau/d23032-a22306,Middle_East_Africa
Black River Gorges National Park,https://www.viator.com/Mauritius-attractions/Black-River-Gorges-National-Park/d4463-a19098,Middle_East_Africa
Signal Hill,https://www.viator.com/Cape-Town-attractions/Signal-Hill/d318-a12748,Middle_East_Africa
Palmeraie (Palm Grove),https://www.viator.com/Marrakech-attractions/Palmeraie/d5408-a19275,Middle_East_Africa
Stone Town,https://www.viator.com/Zanzibar-attractions/Stone-Town/d5590-a16215,Middle_East_Africa
Ngorongoro Conservation Area,https://www.viator.com/Tanzania-attractions/Ngorongoro-Conservation-Area/d5589-a16799,Middle_East_Africa
