title,rating,review_count,attraction_name,region,tour_count
Hike Table Mountain with a Guide - Choose Route,5.0,194.0,Table Mountain National Park,Middle_East_Africa,242
Cape Town: Lion's Head Sunrise/Sunset Hike,5.0,829.0,Table Mountain National Park,Middle_East_Africa,242
"Table Mountain,Cape Point & Penguins Shared Tour, From Cape Town",4.9,235.0,Table Mountain National Park,Middle_East_Africa,242
Cape Town Halfday City and Table Mountain Tour,4.9,146.0,Table Mountain National Park,Middle_East_Africa,242
Cape Town Hop-On Hop-Off Bus Tour with Optional Cruise,4.7,1737.0,Table Mountain National Park,Middle_East_Africa,242
Quad biking Atlantis Dunes Cape Town & Photo Shoot,4.2,386.0,Table Mountain National Park,Middle_East_Africa,242
Tandem Paragliding Cape Town Experience TABLE MOUNTAIN PARAGLIDE,4.7,59.0,Table Mountain National Park,Middle_East_Africa,242
"Table Mountain, Boulders Penguins & Cape point Private Day Tour",5.0,164.0,Table Mountain National Park,Middle_East_Africa,242
Skip the line Hassan 2 mosque Premium Tour entry ticket included,4.8,355.0,Hassan II Mosque,Middle_East_Africa,384
Private Tour of Casablanca with Hassan II Mosque Entry Ticket,4.9,978.0,Hassan II Mosque,Middle_East_Africa,384
Private Guided Tour of Casablanca Including Mosque Entrance,5.0,348.0,Hassan II Mosque,Middle_East_Africa,384
Casablanca Private City Tour,4.9,104.0,Hassan II Mosque,Middle_East_Africa,384
Skip the line Hassan II Mosque guided Tour entry tickets included,4.8,106.0,Hassan II Mosque,Middle_East_Africa,384
Casablanca City Tour with Hassan II mosque ticket,4.8,2329.0,Hassan II Mosque,Middle_East_Africa,384
Casablanca Half-day guided tour,4.8,124.0,Hassan II Mosque,Middle_East_Africa,384
Casablanca Cruise break Tour including Guided Mosque Ticket,4.7,41.0,Hassan II Mosque,Middle_East_Africa,384
Casablanca Day Tour from Marrakech and Big Mosque Visit,4.8,46.0,Hassan II Mosque,Middle_East_Africa,384
Casablanca Night Tour with Andalusian Dinner Show,4.7,18.0,Hassan II Mosque,Middle_East_Africa,384
"Luxor: Valley of Kings, Hatchepsut Temple ,Karnak & Luxor-DayTour",4.9,609.0,Karnak Temple,Middle_East_Africa,3825
4-Days Nile Cruise From Aswan To Luxor including Abu Simbel and Hot Air Balloon,4.8,2857.0,Karnak Temple,Middle_East_Africa,3825
Luxor Private Full-Day Tour: Discover the East and West Banks of the Nile,4.8,530.0,Karnak Temple,Middle_East_Africa,3825
Full Day Tour to East and West Banks of Luxor,4.8,1415.0,Karnak Temple,Middle_East_Africa,3825
Half Day East Bank Tour to Luxor and Karnak Temples (Private),5.0,131.0,Karnak Temple,Middle_East_Africa,3825
"Small group Hurghada to Luxor, Valley of the Kings by Van",4.7,2277.0,Karnak Temple,Middle_East_Africa,3825
Private Full-Day Luxor Highlights East and West Banks,5.0,648.0,Karnak Temple,Middle_East_Africa,3825
"4-Day 3-Night Nile Cruise from Aswan to Luxor including Abu Simbel, Air Balloon",4.6,602.0,Karnak Temple,Middle_East_Africa,3825
Luxor Private Half- DayTour: Karnak & Luxor Temples,5.0,75.0,Karnak Temple,Middle_East_Africa,3825
Private Tour Luxor : Luxor Temple and Karnak Temple,5.0,24.0,Karnak Temple,Middle_East_Africa,3825
Knysna Boat Cruise aboard Coquette,5.0,148.0,Knysna,Middle_East_Africa,162
Knysna Sunset Sailing Cruise with captain's steak Braai & Bubbly,4.7,27.0,Knysna,Middle_East_Africa,162
Knysna Scootour,4.3,56.0,Knysna,Middle_East_Africa,162
Knysna Heads & Lagoon Adventure Tour,4.7,13.0,Knysna,Middle_East_Africa,162
"Knysna Sunset Sailing Cruise, Light Dinner & Bubbly",4.8,41.0,Knysna,Middle_East_Africa,162
Serendipity Knysna Lagoon Cruise,4.6,17.0,Knysna,Middle_East_Africa,162
Knysna Lagoon Boat Cruises,4.7,31.0,Knysna,Middle_East_Africa,162
Knysna Sunset Cruise,4.6,18.0,Knysna,Middle_East_Africa,162
Tandem Paragliding Instructional Flights in Garden Route,4.8,23.0,Knysna,Middle_East_Africa,162
Knysna Kayak (single kayak),4.0,2.0,Knysna,Middle_East_Africa,162
"Luxor: Valley of Kings, Hatchepsut Temple ,Karnak & Luxor-DayTour",4.9,609.0,Luxor Temple,Middle_East_Africa,3176
Full Day Tour to East and West Banks of Luxor,4.8,1415.0,Luxor Temple,Middle_East_Africa,3176
Luxor Private Full-Day Tour: Discover the East and West Banks of the Nile,4.8,530.0,Luxor Temple,Middle_East_Africa,3176
4-Days Nile Cruise From Aswan To Luxor including Abu Simbel and Hot Air Balloon,4.8,2857.0,Luxor Temple,Middle_East_Africa,3176
Private Full-Day Luxor Highlights East and West Banks,5.0,648.0,Luxor Temple,Middle_East_Africa,3176
"4-Day 3-Night Nile Cruise from Aswan to Luxor including Abu Simbel, Air Balloon",4.6,602.0,Luxor Temple,Middle_East_Africa,3176
Half Day East Bank Tour to Luxor and Karnak Temples (Private),5.0,131.0,Luxor Temple,Middle_East_Africa,3176
4-Day Nile Cruise sails Aswan to Luxor&Abu Simbel.Hot air Balloon,4.7,194.0,Luxor Temple,Middle_East_Africa,3176
Luxor Private Half- DayTour: Karnak & Luxor Temples,5.0,75.0,Luxor Temple,Middle_East_Africa,3176
Half Day East Bank Tour to Luxor and Karnak Temples,4.7,77.0,Luxor Temple,Middle_East_Africa,3176
6- Hours Half Day Tour To Sakkara & Memphis & Dahshur,4.7,276.0,Saqqara (Sakkara),Middle_East_Africa,1547
Half Day Tour To Memphis Sakkara And Dahshur Pyramids,4.7,487.0,Saqqara (Sakkara),Middle_East_Africa,1547
"All-inclusive Private Trip Giza Pyramids Sphinx Saqqara, Dahshur",4.9,504.0,Saqqara (Sakkara),Middle_East_Africa,1547
"8 hours Cairo day Tour to Giza Pyramids, Memphis City, Sakkara and Dahshur",4.7,393.0,Saqqara (Sakkara),Middle_East_Africa,1547
"Private Day Tour Saqqara Pyramids, Memphis and Dahshur Pyramids",4.9,138.0,Saqqara (Sakkara),Middle_East_Africa,1547
"VIP All inclusive Best of the best Giza Pyramids,Sakkara,Memphis",4.8,3118.0,Saqqara (Sakkara),Middle_East_Africa,1547
"Private Day Tour Giza Pyramids, Sphinx, Memphis, and Saqqara",4.6,897.0,Saqqara (Sakkara),Middle_East_Africa,1547
"Saqqara with Serapeum, Memphis and Dahshur private quality tour",4.8,73.0,Saqqara (Sakkara),Middle_East_Africa,1547
